WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,Constraint_name,IsExpected_name,Constraint_code,IsExpected_code,Word
137.0,295.12616744082345,7.0,0.030499811,1.0,1.0,LowConstraint,Unexpected,-1,-1,fang
196.0,207.43527872536006,0.0,0.044700419,1.0,1.0,LowConstraint,Unexpected,-1,-1,jazz
54.0,244.39663215465265,1.0,0.021912853,-1.0,1.0,LowConstraint,Unexpected,-1,-1,spry
480.0,323.6477179417688,10.0,0.040569824,1.0,1.0,LowConstraint,Unexpected,-1,-1,cord
9.0,257.61008198397207,1.0,0.00979284,1.0,1.0,LowConstraint,Unexpected,-1,-1,clef
129.0,282.545121930289,6.0,0.013325894,-1.0,1.0,LowConstraint,Unexpected,-1,-1,clad
63.0,246.8838614248285,4.0,0.050794622,-1.0,1.0,LowConstraint,Unexpected,-1,-1,thee
10.0,272.24437265599016,7.0,0.052893216,-1.0,1.0,LowConstraint,Unexpected,-1,-1,mood
16.0,217.49903369746977,3.0,0.014630766,1.0,1.0,LowConstraint,Unexpected,-1,-1,talc
71.0,290.258097910292,4.0,0.024841166,1.0,1.0,LowConstraint,Unexpected,-1,-1,spud
26.0,275.5870311232431,5.0,0.037389536,1.0,1.0,LowConstraint,Unexpected,-1,-1,limb
274.0,280.32854857593827,3.0,0.043112975,1.0,1.0,LowConstraint,Unexpected,-1,-1,bait
357.0,269.99978100190793,2.0,0.023417505,1.0,1.0,LowConstraint,Unexpected,-1,-1,purr
174.0,274.49415287955236,2.0,0.039957884,1.0,1.0,LowConstraint,Unexpected,-1,-1,riot
293.0,299.1506133632519,8.0,0.032508414,-1.0,1.0,LowConstraint,Unexpected,-1,-1,poll
232.0,313.8901144244873,8.0,0.029216537,1.0,1.0,LowConstraint,Unexpected,-1,-1,lark
447.0,223.902707410603,2.0,0.019742265,-1.0,1.0,LowConstraint,Unexpected,-1,-1,dyer
322.0,302.3164294931529,5.0,0.028224834,1.0,1.0,LowConstraint,Unexpected,-1,-1,wasp
157.0,307.36335709356644,8.0,0.022593186,1.0,1.0,LowConstraint,Unexpected,-1,-1,fowl
276.0,234.77728431895608,3.0,0.010836738,-1.0,1.0,LowConstraint,Unexpected,-1,-1,yelp
203.0,254.35832129443253,2.0,0.036036068,1.0,1.0,LowConstraint,Unexpected,-1,-1,bulb
457.0,238.56517541620428,3.0,0.019090729,1.0,1.0,LowConstraint,Unexpected,-1,-1,oxen
152.0,279.20245509371955,8.0,0.031603103,-1.0,1.0,LowConstraint,Unexpected,-1,-1,goof
364.0,306.596838407678,13.0,0.044306258,-1.0,1.0,LowConstraint,Unexpected,-1,-1,heal
460.0,320.98077525019005,11.0,0.005419269,-1.0,1.0,LowConstraint,Unexpected,-1,-1,balk
418.0,236.715992903307,1.0,0.023016144,-1.0,1.0,LowConstraint,Unexpected,-1,-1,mono
325.0,295.9003464992135,5.0,0.045186372,1.0,1.0,LowConstraint,Unexpected,-1,-1,chin
496.0,301.58697626381394,11.0,0.038764601,-1.0,1.0,LowConstraint,Unexpected,-1,-1,lust
51.0,308.7393411450233,9.0,0.023797268,-1.0,1.0,LowConstraint,Unexpected,-1,-1,bunt
290.0,189.55390327657557,0.0,0.036190853,-1.0,1.0,LowConstraint,Unexpected,-1,-1,jinx
