WordInds,LexSemErr,ONsize,Frequency,Concreteness,ItemCrossedThreshold,IsWord_name,IsNeighborofExpected_name,IsWord_code,IsNeighborofExpected_code,Word
1023.0,162.2920825919478,11.0,0.046523641,-1.0,1.0,Word,Neighbor,1,1,bend
421.0,161.96181341440763,11.0,0.043390148,-1.0,0.0,Word,Neighbor,1,1,worn
1521.0,135.5288236941021,4.0,0.059268192,-1.0,1.0,Word,Neighbor,1,1,soul
78.0,125.9395197851707,4.0,0.022807365,1.0,1.0,Word,Neighbor,1,1,fawn
729.0,162.23352143110077,13.0,0.052747431,-1.0,0.0,Word,Neighbor,1,1,lane
553.0,146.60269900920508,13.0,0.053659941,-1.0,1.0,Word,Neighbor,1,1,hill
968.0,122.48046361567106,2.0,0.027791076,-1.0,1.0,Word,Neighbor,1,1,oval
1219.0,144.6034636300857,2.0,0.010836738,-1.0,1.0,Word,Neighbor,1,1,quip
634.0,176.28724447923952,14.0,0.033903277,-1.0,1.0,Word,Neighbor,1,1,rake
544.0,143.73986606836115,14.0,0.047693526,-1.0,0.0,Word,Neighbor,1,1,tent
552.0,145.85677425866623,9.0,0.060978024,-1.0,0.0,Word,Neighbor,1,1,boat
764.0,137.60452427454314,9.0,0.060324688,-1.0,0.0,Word,Neighbor,1,1,land
673.0,164.07279859193378,8.0,0.05541117,-1.0,1.0,Word,Neighbor,1,1,pool
446.0,157.33657626706085,8.0,0.020629578,-1.0,1.0,Word,Neighbor,1,1,musk
165.0,168.06906790494722,10.0,0.023219524,-1.0,1.0,Word,Neighbor,1,1,wary
657.0,136.32388285888706,10.0,0.015750256,-1.0,0.0,Word,Neighbor,1,1,beet
276.0,150.64631108487882,3.0,0.010836738,-1.0,1.0,Word,Neighbor,1,1,yelp
1074.0,130.35042814092554,3.0,0.061498173,-1.0,1.0,Word,Neighbor,1,1,blue
1468.0,147.57963567291992,7.0,0.051672936,-1.0,0.0,Word,Neighbor,1,1,loss
115.0,203.63314082496711,7.0,0.026714782,1.0,1.0,Word,Neighbor,1,1,blob
988.0,151.8436917752792,10.0,0.064295099,-1.0,1.0,Word,Neighbor,1,1,pull
949.0,129.64093452985486,10.0,0.035217149,-1.0,1.0,Word,Neighbor,1,1,hash
306.0,175.47638867563103,4.0,0.05092241,1.0,1.0,Word,Neighbor,1,1,drag
89.0,145.4598105498257,4.0,0.022593186,1.0,1.0,Word,Neighbor,1,1,lube
1240.0,162.9162443274751,9.0,0.071717572,-1.0,1.0,Word,Neighbor,1,1,fuck
826.0,149.47683723561377,9.0,0.054306078,-1.0,0.0,Word,Neighbor,1,1,bite
1416.0,138.4276486572278,7.0,0.030499811,-1.0,0.0,Word,Neighbor,1,1,muse
731.0,142.39902663875364,7.0,0.040051475,-1.0,0.0,Word,Neighbor,1,1,coal
1021.0,127.30418205799813,5.0,0.053598747,-1.0,0.0,Word,Neighbor,1,1,pair
591.0,122.32558833749454,5.0,0.034725797,-1.0,1.0,Word,Neighbor,1,1,flea
1078.0,126.78114647974363,2.0,0.042691816,-1.0,1.0,Word,Neighbor,1,1,arts
252.0,157.2688685313186,2.0,0.030012059,1.0,1.0,Word,Neighbor,1,1,logo
293.0,138.58062931716987,8.0,0.032508414,-1.0,0.0,Word,Neighbor,1,1,poll
774.0,132.30407503014092,8.0,0.035260344,-1.0,0.0,Word,Neighbor,1,1,lump
1457.0,136.6543663961757,14.0,0.072370908,-1.0,0.0,Word,Neighbor,1,1,went
777.0,143.15414453645087,14.0,0.049214377,-1.0,0.0,Word,Neighbor,1,1,wave
1298.0,182.9008623876336,8.0,0.030733788,-1.0,1.0,Word,Neighbor,1,1,span
1105.0,130.87368187009764,8.0,0.049414157,-1.0,0.0,Word,Neighbor,1,1,boom
827.0,139.96542751680727,9.0,0.059626357,-1.0,0.0,Word,Neighbor,1,1,list
686.0,133.49614937320536,9.0,0.058758842,-1.0,0.0,Word,Neighbor,1,1,park
798.0,166.81420224132603,12.0,0.02214683,-1.0,1.0,Word,Neighbor,1,1,seam
1470.0,137.67958165603883,12.0,0.048010295,-1.0,0.0,Word,Neighbor,1,1,role
737.0,135.12485086788053,11.0,0.043127374,-1.0,0.0,Word,Neighbor,1,1,dock
1512.0,160.77991925531393,11.0,0.090144166,-1.0,0.0,Word,Neighbor,1,1,like
1304.0,134.1019056425076,11.0,0.084519717,-1.0,0.0,Word,Neighbor,1,1,look
743.0,131.47741724358102,11.0,0.035217149,-1.0,1.0,Word,Neighbor,1,1,dent
869.0,149.9187016001824,9.0,0.058899228,-1.0,1.0,Word,Neighbor,1,1,kick
438.0,143.38106733369534,9.0,0.005419269,-1.0,0.0,Word,Neighbor,1,1,gape
981.0,183.27835331151232,14.0,0.039088569,-1.0,1.0,Word,Neighbor,1,1,slam
133.0,139.18464503436536,14.0,0.047407354,-1.0,0.0,Word,Neighbor,1,1,tone
1509.0,133.3625351698291,10.0,0.030012059,-1.0,1.0,Word,Neighbor,1,1,heed
1.0,138.1778454534361,10.0,0.025161534,1.0,0.0,Word,Neighbor,1,1,pant
112.0,175.95496108591374,6.0,0.021912853,-1.0,1.0,Word,Neighbor,1,1,sped
1533.0,131.18294080000402,6.0,0.067995536,-1.0,0.0,Word,Neighbor,1,1,wish
505.0,130.17992376104456,5.0,0.058379079,-1.0,0.0,Word,Neighbor,1,1,tony
1003.0,128.6008887921925,5.0,0.036705603,-1.0,1.0,Word,Neighbor,1,1,trim
944.0,144.0692887673067,12.0,0.059881932,-1.0,0.0,Word,Neighbor,1,1,lead
298.0,142.37937492979285,12.0,0.03132413,1.0,0.0,Word,Neighbor,1,1,lice
1025.0,131.8538322370833,5.0,0.025316319,-1.0,1.0,Word,Neighbor,1,1,flex
1426.0,127.10451120548476,5.0,0.056964417,-1.0,0.0,Word,Neighbor,1,1,wild
1050.0,140.15338877864406,11.0,0.028735984,-1.0,0.0,Word,Neighbor,1,1,peer
732.0,135.09671674343878,11.0,0.062192905,-1.0,0.0,Word,Neighbor,1,1,mike
747.0,154.65601044307274,10.0,0.051604543,-1.0,0.0,Word,Neighbor,1,1,meal
1261.0,139.01767452343339,10.0,0.042985187,-1.0,0.0,Word,Neighbor,1,1,pace
906.0,148.24444087938625,8.0,0.059764943,-1.0,1.0,Word,Neighbor,1,1,mark
867.0,126.1169428909722,8.0,0.073486798,-1.0,0.0,Word,Neighbor,1,1,shit
1452.0,130.18326894225487,7.0,0.075664585,-1.0,0.0,Word,Neighbor,1,1,feel
717.0,141.4405394245851,7.0,0.033644103,-1.0,1.0,Word,Neighbor,1,1,ramp
352.0,166.24728525846166,7.0,0.033320135,1.0,0.0,Word,Neighbor,1,1,woof
525.0,135.64463812296034,7.0,0.040569824,-1.0,0.0,Word,Neighbor,1,1,mule
555.0,118.09621860620305,10.0,0.048192077,-1.0,1.0,Word,Neighbor,1,1,nail
813.0,142.22046753087616,10.0,0.043600727,-1.0,0.0,Word,Neighbor,1,1,coop
799.0,152.12154234742613,8.0,0.018743363,-1.0,1.0,Word,Neighbor,1,1,loom
953.0,129.09325378105373,8.0,0.078085348,-1.0,0.0,Word,Neighbor,1,1,talk
72.0,136.6058524833084,3.0,0.044928997,-1.0,0.0,Word,Neighbor,1,1,coma
1541.0,104.52824630912755,3.0,0.020050035,-1.0,1.0,Word,Neighbor,1,1,avid
1124.0,129.00698163637793,13.0,0.062011123,-1.0,0.0,Word,Neighbor,1,1,wear
996.0,134.46929036783516,13.0,0.069428196,-1.0,0.0,Word,Neighbor,1,1,case
